nohup: ignoring input
4500000
(4500000, 1500)
('shape of sum array', (4500000,))
('shape of correlations', (1500, 4500000))
('sum of correlations, sum of row sums', 14300030, 14300030)
block_size_x=96, f_unroll=12, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 111.08258667 ms.
block_size_x=96, f_unroll=12, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 177.358175659 ms.
block_size_x=96, f_unroll=15, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 90.8721725464 ms.
block_size_x=96, f_unroll=15, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 83.1981170654 ms.
block_size_x=96, f_unroll=15, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 62.5232315063 ms.
block_size_x=96, f_unroll=15, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.972859192 ms.
block_size_x=96, f_unroll=15, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 184.926553345 ms.
block_size_x=128, f_unroll=1, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 74.0658309937 ms.
block_size_x=128, f_unroll=1, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 43.4075134277 ms.
block_size_x=128, f_unroll=1, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 44.0206855774 ms.
block_size_x=128, f_unroll=1, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 77.4767852783 ms.
skipping config 128_1_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=2, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 62.9127746582 ms.
block_size_x=128, f_unroll=2, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 43.3355262756 ms.
block_size_x=128, f_unroll=2, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 44.8160636902 ms.
block_size_x=128, f_unroll=2, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 76.9591674805 ms.
skipping config 128_2_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=3, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 68.626625061 ms.
block_size_x=128, f_unroll=3, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 50.3590270996 ms.
block_size_x=128, f_unroll=3, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 46.3230537415 ms.
block_size_x=128, f_unroll=3, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 76.7965393066 ms.
skipping config 128_3_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=4, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 67.1976455688 ms.
block_size_x=128, f_unroll=4, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 52.756275177 ms.
block_size_x=128, f_unroll=4, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 45.1276229858 ms.
block_size_x=128, f_unroll=4, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 80.8828292847 ms.
skipping config 128_4_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=5, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 66.4174713135 ms.
block_size_x=128, f_unroll=5, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 53.1406219482 ms.
block_size_x=128, f_unroll=5, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 46.1563201904 ms.
block_size_x=128, f_unroll=5, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 81.5779922485 ms.
skipping config 128_5_1_16 reason: too much shared memory used
block_size_x=128, f_unroll=6, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 72.1851394653 ms.
block_size_x=128, f_unroll=6, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 55.1632759094 ms.
