nohup: ignoring input
4500000
(4500000, 1500)
('hits ', 14321674, 14321674)
block_size_x=64, f_unroll=5, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 189.603555298 ms.
block_size_x=64, f_unroll=5, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 68.2399673462 ms.
block_size_x=64, f_unroll=5, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 75.7811447144 ms.
block_size_x=64, f_unroll=5, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 110.044903564 ms.
block_size_x=64, f_unroll=5, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 99.8667205811 ms.
block_size_x=64, f_unroll=5, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 189.602859497 ms.
block_size_x=64, f_unroll=6, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 135.782266235 ms.
block_size_x=64, f_unroll=6, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 77.7799362183 ms.
block_size_x=64, f_unroll=6, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.739045715 ms.
block_size_x=64, f_unroll=6, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 105.929919434 ms.
block_size_x=64, f_unroll=6, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 189.361087036 ms.
block_size_x=64, f_unroll=6, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 135.791949463 ms.
block_size_x=64, f_unroll=6, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 77.7781433105 ms.
block_size_x=64, f_unroll=6, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.766943359 ms.
block_size_x=64, f_unroll=6, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.029241943 ms.
block_size_x=64, f_unroll=6, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 189.225964355 ms.
block_size_x=64, f_unroll=10, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 132.621768188 ms.
block_size_x=64, f_unroll=10, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 80.1507980347 ms.
block_size_x=64, f_unroll=10, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 110.805671692 ms.
block_size_x=64, f_unroll=10, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.418914795 ms.
block_size_x=64, f_unroll=10, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 189.94934082 ms.
block_size_x=64, f_unroll=10, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 135.432647705 ms.
block_size_x=64, f_unroll=10, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 80.11900177 ms.
block_size_x=64, f_unroll=10, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 110.789068604 ms.
block_size_x=64, f_unroll=10, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.364019775 ms.
block_size_x=64, f_unroll=10, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 189.951098633 ms.
block_size_x=64, f_unroll=12, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 131.088360596 ms.
block_size_x=64, f_unroll=12, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 82.2793548584 ms.
block_size_x=64, f_unroll=12, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 111.708499146 ms.
block_size_x=64, f_unroll=12, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.233383179 ms.
block_size_x=64, f_unroll=12, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 214.71506958 ms.
block_size_x=64, f_unroll=12, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 131.104891968 ms.
block_size_x=64, f_unroll=12, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 82.3312652588 ms.
block_size_x=64, f_unroll=12, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 115.557310486 ms.
block_size_x=64, f_unroll=12, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.259333801 ms.
block_size_x=64, f_unroll=12, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 214.743093872 ms.
block_size_x=64, f_unroll=15, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 131.16338501 ms.
block_size_x=64, f_unroll=15, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 87.1019180298 ms.
block_size_x=64, f_unroll=15, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 111.688250732 ms.
block_size_x=64, f_unroll=15, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.623674011 ms.
block_size_x=64, f_unroll=15, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 257.707720947 ms.
block_size_x=64, f_unroll=15, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 131.145758057 ms.
block_size_x=64, f_unroll=15, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 85.8852416992 ms.
block_size_x=64, f_unroll=15, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 111.642196655 ms.
block_size_x=64, f_unroll=15, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 105.799597168 ms.
block_size_x=64, f_unroll=15, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 258.679156494 ms.
block_size_x=96, f_unroll=1, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 98.5791610718 ms.
block_size_x=96, f_unroll=1, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 52.0291389465 ms.
block_size_x=96, f_unroll=1, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 72.296762085 ms.
block_size_x=96, f_unroll=1, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 103.381919861 ms.
block_size_x=96, f_unroll=1, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 129.202233887 ms.
block_size_x=96, f_unroll=1, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 98.5581954956 ms.
block_size_x=96, f_unroll=1, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 52.0346115112 ms.
block_size_x=96, f_unroll=1, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 72.2399932861 ms.
block_size_x=96, f_unroll=1, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 103.667602539 ms.
block_size_x=96, f_unroll=1, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 129.712908936 ms.
block_size_x=96, f_unroll=2, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 75.9556793213 ms.
block_size_x=96, f_unroll=2, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 52.0403198242 ms.
block_size_x=96, f_unroll=2, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 82.1569412231 ms.
block_size_x=96, f_unroll=2, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.62416687 ms.
block_size_x=96, f_unroll=2, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 130.569827271 ms.
block_size_x=96, f_unroll=2, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 76.0171646118 ms.
block_size_x=96, f_unroll=2, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 52.0453315735 ms.
block_size_x=96, f_unroll=2, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 78.1002944946 ms.
block_size_x=96, f_unroll=2, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 101.880358887 ms.
block_size_x=96, f_unroll=2, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 130.659875488 ms.
block_size_x=96, f_unroll=3, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 63.014906311 ms.
block_size_x=96, f_unroll=3, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 56.3231872559 ms.
block_size_x=96, f_unroll=3, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 77.8318588257 ms.
